1	2	13	12
2	3	14	13
3	4	15	14
4	5	16	15
5	6	17	16
6	7	18	17
7	8	19	18
8	9	20	19
9	10	21	20
10	11	22	21
12	13	24	23
13	14	25	24
14	15	26	25
15	16	27	26
16	17	28	27
17	18	29	28
18	19	30	29
19	20	31	30
20	21	32	31
21	22	33	32
23	24	35	34
24	25	36	35
25	26	37	36
26	27	38	37
27	28	39	38
28	29	40	39
29	30	41	40
30	31	42	41
31	32	43	42
32	33	44	43
34	35	46	45
35	36	47	46
36	37	48	47
37	38	49	48
38	39	50	49
39	40	51	50
40	41	52	51
41	42	53	52
42	43	54	53
43	44	55	54
45	46	57	56
46	47	58	57
47	48	59	58
48	49	60	59
49	50	61	60
50	51	62	61
51	52	63	62
52	53	64	63
53	54	65	64
54	55	66	65
122	123	68	67
123	124	69	68
124	125	70	69
125	126	71	70
126	61	72	71
61	62	73	72
62	63	74	73
63	64	75	74
64	65	76	75
65	66	77	76
67	68	79	78
68	69	80	79
69	70	81	80
70	71	82	81
71	72	83	82
72	73	84	83
73	74	85	84
74	75	86	85
75	76	87	86
76	77	88	87
78	79	90	89
79	80	91	90
80	81	92	91
81	82	93	92
82	83	94	93
83	84	95	94
84	85	96	95
85	86	97	96
86	87	98	97
87	88	99	98
89	90	101	100
90	91	102	101
91	92	103	102
92	93	104	103
93	94	105	104
94	95	106	105
95	96	107	106
96	97	108	107
97	98	109	108
98	99	110	109
100	101	112	111
101	102	113	112
102	103	114	113
103	104	115	114
104	105	116	115
105	106	117	116
106	107	118	117
107	108	119	118
108	109	120	119
109	110	121	120
